GeoFips,GeoName,LineCode,Description,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3
55000,Wisconsin,6,"      Mining, quarrying, and oil and gas extraction",369.5,384.7,393.7,454.6,486.6,518.5,515.1,484.3,479.5,491.1,459.7,459.2,448.2,494.7,507.7,434.8,407.8,438.9,522.7,599.3,594.6,642.4,631,583.4,520.4,529.9,494.6,511.2,490.6,481.1,464.2,520.5,576.3,612,703.1,729.1,824.1,1151.4,1260.5,1647.2,1825.2,2226.9,2079.2,1852.2,1228.6,1135.3,1040.7,972.6,1002.8,1009.3,1031.1,1177,1232.2,1295.8,1333.6
55000,Wisconsin,10,      Utilities,3463.4,3345.4,3684.4,3640.1,3742.9,3921.9,4165.4,4205.2,4141.1,4051.3,4239.6,3948.3,4203.8,4647.4,4723.8,4701.1,4452.3,4453.6,4643.3,5001,4855.4,4742.7,4999.5,5302.1,5056,5167.1,5106.1,5720.8,5064.2,5252.9,5145.3,5150.9,5595.4,5772.7,5052.9,5069.3,5687.2,5344.1,5594,5456,5538.8,5122.5,5596.2,5448.4,5473.4,5545.1,5651.1,5564.2,5333.5,5695,5598.7,5649.6,5526.6,5577.4,5523.8
55000,Wisconsin,11,      Construction,10643,10506.5,10571.7,10611.1,10735.5,10776.2,10383.9,10436.3,10816.3,10816.9,10876.2,10893.7,10406.5,10172.3,10366.4,10332.6,9946.3,9535.4,9408.4,8828.3,8862.8,8605.1,8361.3,8279.7,8364.2,8372.4,8292.7,8469.7,8872.9,9120.9,8733.9,9180.8,9490.5,9506.8,9905.8,10049.2,10147.2,10320.2,10811.1,10976.6,11292.6,11511,11690.3,11758.8,12286.2,12276.9,12219.3,12567.9,12647.6,12847.8,13083.7,13232.5,13423.2,13804.8,14091
55000,Wisconsin,12,      Manufacturing,46167.6,45834.3,46888.1,47260.4,49086.4,50113.5,49780.7,50528.3,49173.3,49895.6,49966.1,48614.7,46791,46456,46820.9,45579.5,43854.2,44329,44924.9,46437.6,46423.1,47445.5,49000.8,49570.4,48400.6,49716.9,51047.7,51930.8,52654.7,54226.2,54071.6,54749.5,56469.7,54549.4,55443,57064.6,54634.8,56764.1,57289,56967.5,57258.8,58048.2,58358,57391.5,57243.2,57012.6,57390.8,56466.3,58789.8,58686.1,60145.5,60949,61251,62770,63605.4
55000,Wisconsin,13,          Durable goods manufacturing,28151.6,28268,28657.8,28882,29696.6,30132.8,29883.5,30880.6,29645.2,30110.5,30568.8,29330.9,29123.2,28288.3,28152.9,26838.8,25019.6,23722.9,23295,24081.1,24830.3,26308.7,28229.3,29199.8,28819.6,29775.4,30760.8,31422.3,31451.7,32729.5,32448.7,33256.8,34576.9,33536.3,34072.1,34819.8,32685.3,33504.1,33691.9,33665.3,34082,34486.4,34635.7,33967.3,33866.3,33171.8,33217.6,32610.1,34243.5,33971.4,35056.2,35191.3,35223.4,35901.4,36529.9
55000,Wisconsin,25,          Nondurable goods manufacturing,18016,17566.3,18230.3,18378.3,19389.8,19980.7,19897.3,19647.8,19528.1,19785,19397.3,19283.8,17667.8,18167.7,18668,18740.6,18834.6,20606.1,21629.9,22356.5,21592.8,21136.7,20771.5,20370.6,19581,19941.5,20286.9,20508.6,21203.1,21496.7,21622.9,21492.7,21892.8,21013.1,21371,22244.8,21949.5,23260,23597,23302.2,23176.8,23561.8,23722.4,23424.3,23376.8,23840.8,24173.2,23856.2,24546.3,24714.7,25089.3,25757.7,26027.6,26868.7,27075.5
55000,Wisconsin,34,      Wholesale trade,12663.8,12804.4,12975.5,13117.2,13390.5,13551.1,13711.9,13914,14009.8,14055.7,14062.3,14089.5,14487.3,14845.4,15143.7,15068.2,14392.6,14171.9,14153.5,14387.1,14511.2,14717.3,15177.1,15258,15101.7,15385.9,15550.6,15751.9,16216.5,16382.7,16396,16428.7,17145.3,17030.5,17305.7,17576.3,17274.8,17665.4,18194.3,18087.9,18140.9,18559.4,18626.1,18837.1,18871.2,19272.1,18947.5,19064.3,19587.5,19652.3,20227.9,20816.5,21115.6,21461.6,21806.4
55000,Wisconsin,35,      Retail trade,14491,14637.5,14664.7,14660.9,15032.6,14994.3,14981.1,14923.7,14897.6,14816.1,14694.9,14588.5,14374.8,14599.9,14791.9,14773,14431.4,14260,14194,14495,14168,14390.6,14322.1,14489.6,14745.7,14652.3,14881.6,14979,14814.8,14799.6,14873.8,15037.5,15711.4,15720.6,15950.9,15862.9,15980.8,16079.5,16210.2,16183.8,16647.8,16652.3,17022.6,17149.8,17006.3,17475.2,17587.6,17675.5,17577.7,17878.9,17926.4,18147,18221.9,18491.4,18654.5
55000,Wisconsin,36,      Transportation and warehousing,6868.2,7064.5,7212.6,7334.5,7345.4,7463.7,7470.3,7621.8,7097.6,7165,7159.3,7297.2,7043.3,7028.4,7140.4,7293.8,7066.3,6832,6800.4,6862.5,7058.5,7305.5,7431.6,7533.3,7463.6,7620.1,7603.9,7710.4,7763.4,7833.5,7809.2,7905.5,8097.4,8119.9,8297.3,8361.4,8309.5,8534.1,8821.7,8854.9,8868.2,9011.3,9146.5,9128.4,8934.3,9128.2,8998.9,9139.9,9099.8,9317.3,9353,9507.3,9599.1,9726.9,9876.5
55000,Wisconsin,45,      Information,7367.4,7504.3,7324.3,7310.5,7238.4,7520.2,7741.2,7696.7,7712,7960.7,8237.2,8154.7,8228,8558.4,8572,8520.4,8579.9,8356.6,8558.2,8521.2,8241.8,8647,8929,8944.9,8810.7,9008.6,8832.2,8985.7,8747.4,8800.2,8808.4,8613,9362.4,9598,9785.7,9638,9809.8,10135,9817,10011.6,10571,10317.4,10860.2,11405.8,11356.2,11711,11615,11842.4,11740.6,12006.1,12373,11910.3,12255.1,12661,12874.8
